,City,Latitude,Longitude
0,Amsterdam,52.3745403,4.89797550561798
1,Antwerp,51.2211097,4.3997081
2,Athens,33.9597677,-83.376398
3,Barcelona,41.3828939,2.1774322
4,Berlin,52.5170365,13.3888599
5,Bern,46.9482713,7.4514512
6,Brussels,50.8465573,4.351697
7,Calais,50.9488,1.87468
8,Cologne,50.938361,6.959974
9,Copenhagen,55.6867243,12.5700724
10,Edinburgh,55.953346,-3.1883739
11,Frankfurt,50.1106444,8.6820917
12,Geneva,46.2017559,6.1466014
13,Genoa,44.40726,8.9338624
14,Hamburg,53.550341,10.000654
15,Le Havre,49.4938975,0.1079732
16,Lisbon,38.7077507,-9.1365919
17,London,51.5073219,-0.1276474
18,Luxembourg,49.8158683,6.1296751
19,Lyon,45.7578137,4.8320114
20,Madrid,40.4167047,-3.7035825
21,Marseille,43.2961743,5.3699525
22,Milan,45.4667971,9.1904984
23,Munich,48.1371079,11.5753822
24,Naples,40.8359336,14.2487826
25,Nice,43.7009358,7.2683912
26,Paris,48.8566101,2.3514992
27,Prague,50.0874654,14.4212535
28,Rome,41.894802,12.4853384
29,Rotterdam,51.92779805,4.48862326925829
30,Strasbourg,48.584614,7.7507127
31,Stuttgart,48.7784485,9.1800132
32,The Hague,52.0799838,4.3113461
33,Turin,45.0677551,7.6824892
34,Venice,45.4371908,12.3345898
35,Vienna,48.2083537,16.3725042
36,Zurich,47.3769434,8.5414061
